customerid;totalcharges;final_bill;sr_discount
4667-QONEA;4456.35;3565.080078125;Yes
5067-XJQFU;7076.35;5661.080078125;Yes
1891-QRQSA;7099.0;5679.2;Yes
3146-MSEGF;6425.65;5140.519921875;Yes
3167-SNQPL;3741.85;2993.480078125;Yes
5697-GOMBF;973.65;778.92001953125;Yes
8204-YJCLA;4732.35;3785.880078125;Yes
0111-KLBQG;2861.45;2289.1599609375;Yes
3780-DDGSE;2747.2;2197.7599609375;Yes
4332-MUOEZ;1818.3;1454.6400390625;Yes
8606-CIQUL;8399.15;6719.3203125;Yes
1297-VQDRP;7379.8;5903.83984375;Yes
4881-JVQOD;362.6;290.0800048828125;Yes
5099-BAILX;4687.9;3750.319921875;Yes
4913-EHYUI;5794.65;4635.719921875;Yes
9978-HYCIN;4018.05;3214.4400390625;Yes
6919-ELBGL;8196.4;6557.1203125;Yes
4250-WAROZ;5774.55;4619.63984375;Yes
9904-EHEVJ;2896.55;2317.2400390625;Yes
4184-TJFAN;273.75;219.0;Yes
2460-NGXBJ;775.3;620.239990234375;Yes
1641-RQDAY;3217.65;2574.119921875;Yes
1004-NOZNR;5264.3;4211.43984375;Yes
2811-POVEX;2130.55;1704.4400390625;Yes
6374-NTQLP;7447.7;5958.16015625;Yes
7426-WEIJX;4859.1;3887.280078125;Yes
5047-LHVLY;50.15;40.120001220703124;Yes
0999-QXNSA;344.2;275.360009765625;Yes
9705-IOVQQ;5969.3;4775.43984375;Yes
1845-CSBRZ;1961.6;1569.27998046875;Yes
3398-GCPMU;6448.85;5159.080078125;Yes
1587-FKLZB;6822.15;5457.719921875;Yes
8552-OBVRU;5068.05;4054.43984375;Yes
1089-HDMKP;601.25;481.0;Yes
9898-KZQDZ;3640.45;2912.3599609375;Yes
7641-EUYET;4541.2;3632.96015625;Yes
0354-WYROK;2911.3;2329.0400390625;Yes
7748-UMTRK;2974.5;2379.6;Yes
5315-CKEQK;1381.8;1105.4400390625;Yes
2397-BRLOM;583.45;466.760009765625;Yes
4295-YURET;4084.35;3267.480078125;Yes
8433-WPJTV;6767.1;5413.680078125;Yes
5248-RPYWW;6716.45;5373.16015625;Yes
7409-KIUTL;71.0;56.8;Yes
1732-VHUBQ;3309.25;2647.4;Yes
0679-IDSTG;69.25;55.4;Yes
8059-UDZFY;3465.05;2772.0400390625;Yes
3865-QBWSJ;3162.65;2530.119921875;Yes
9844-FELAJ;7475.85;5980.680078125;Yes
8395-ETZKQ;1193.55;954.8400390625;Yes
4827-LTQRJ;7210.85;5768.680078125;Yes
6773-LQTVT;1025.15;820.12001953125;Yes
3982-DQLUS;5688.45;4550.76015625;Yes
8623-TMRBY;4146.05;3316.83984375;Yes
6900-PXRMS;2710.25;2168.2;Yes
9544-PYPSJ;6019.35;4815.480078125;Yes
7826-VVKWT;2263.45;1810.7599609375;Yes
1309-XGFSN;4079.55;3263.6400390625;Yes
8631-NBHFZ;5154.6;4123.680078125;Yes
4304-XUMGI;3822.45;3057.9599609375;Yes
2403-BCASL;4534.9;3627.919921875;Yes
4098-NAUKP;5683.6;4546.880078125;Yes
0916-QOFDP;1346.3;1077.0400390625;Yes
5446-DKWYW;3965.05;3172.0400390625;Yes
0537-QYZZN;1857.75;1486.2;Yes
7576-JMYWV;4972.1;3977.680078125;Yes
8580-QVLOC;6440.25;5152.2;Yes
3996-ZNWYK;1388.45;1110.7599609375;Yes
8760-ZRHKE;4982.5;3986.0;Yes
2718-GAXQD;181.6;145.2800048828125;Yes
2197-OMWGI;3656.25;2925.0;Yes
9758-MFWGD;1388.75;1111.0;Yes
4135-FRWKJ;4154.55;3323.63984375;Yes
8988-ECPJR;2718.3;2174.6400390625;Yes
3001-UNBTL;2964.8;2371.8400390625;Yes
5336-UFNZP;7047.5;5638.0;Yes
7472-EQOAV;6179.35;4943.480078125;Yes
4291-HYEBC;1096.6;877.27998046875;Yes
5287-QWLKY;7548.1;6038.480078125;Yes
7072-MBHEV;864.85;691.87998046875;Yes
9971-ZWPBF;3625.2;2900.1599609375;Yes
8421-WZOOW;5567.45;4453.96015625;Yes
0282-NVSJS;355.9;284.7199951171875;Yes
1468-DEFNC;1548.65;1238.92001953125;Yes
5553-AOINX;6891.45;5513.16015625;Yes
1658-XUHBX;5348.65;4278.919921875;Yes
5180-UCIIQ;880.2;704.160009765625;Yes
9661-MHUMO;49.25;39.4;Yes
2205-LPVGL;5125.75;4100.6;Yes
4868-AADLV;7862.25;6289.8;Yes
7471-MQPOS;5139.65;4111.719921875;Yes
