customerid;tenure
1452-KIOVK;22
7892-POOKP;28
0280-XJGEX;49
5129-JLPIS;25
4183-MYFRB;21
3638-WEABW;58
6865-JZNKO;30
6467-CHFZW;47
5248-YGIJN;72
3841-NFECX;71
6572-ADKRS;46
5380-WJKOV;34
9489-DEDVP;70
4671-VJLCL;63
3714-NTNFO;49
7639-LIAYI;52
2954-PIBKO;69
8012-SOUDQ;43
6575-SUVOI;25
4667-QONEA;60
8769-KKTPH;63
5067-XJQFU;66
5954-BDFSG;72
0434-CSFON;47
1215-FIGMP;60
8627-ZYGSZ;47
0731-EBJQB;52
1891-QRQSA;64
8028-PNXHQ;62
0191-ZHSKZ;30
3887-PBQAO;45
9919-YLNNG;42
0318-ZOPWS;49
4808-YNLEU;35
2796-NNUFI;46
7233-PAHHL;66
6067-NGCEU;65
9848-JQJTX;72
9803-FTJCG;71
4598-XLKNJ;25
3192-NQECA;68
6728-DKUCO;72
0486-HECZI;55
5712-AHQNN;43
4846-WHAFZ;37
5256-SKJGO;64
9445-ZUEQE;27
1091-SOZGA;56
4622-YNKIJ;33
4412-YLTKF;27
6734-PSBAW;72
2639-UGMAZ;71
6207-WIOLX;25
7799-LGRDP;43
7850-VWJUU;23
6217-KDYWC;57
3146-MSEGF;72
1095-WGNGG;61
2636-SJDOU;64
5716-EZXZN;65
1679-JRFBR;70
9167-APMXZ;22
4648-YPBTM;53
5997-OPVFA;72
3445-HXXGF;58
7654-YWJUF;43
0691-JVSYA;53
3712-PKXZA;61
7100-FQPRV;43
9178-JHUVJ;24
6168-YBYNP;59
7255-SSFBC;72
9323-HGFWY;27
7674-YTAFD;33
6348-SNFUS;72
1347-KTTTA;64
0699-NDKJM;57
0230-WEQUW;66
2040-LDIWQ;65
6778-JFCMK;24
6341-JVQGF;31
4811-JBUVU;30
0945-TSONX;47
2651-ZCBXV;54
3316-UWXUY;50
7576-ASEJU;41
0959-WHOKV;42
4075-JFPGR;51
4111-BNXIF;67
5046-NUHWD;29
7529-ZDFXI;57
7605-BDWDC;31
7014-ZZXAW;71
7633-MVPUY;57
4484-GLZOU;52
