totalcharges;final_total_charges;monthlycharges;final_monthly_charges
820.5;898.4475;99.65;109.1167516708374
3046.05;3335.424803466797;104.8;114.75600334167481
5681.1;6220.804606933594;100.35;109.8832483291626
5036.3;5514.748286132813;103.7;113.55149665832519
2686.05;2941.224803466797;105.5;115.52250000000001
7895.15;8645.189143066405;113.25;124.00875
7382.25;8083.56375;106.7;116.83649665832519
1862.9;2039.8755267333984;90.05;98.60475334167481
39.65;43.4167516708374;39.65;43.4167516708374
4749.15;5200.3191430664065;99.35;108.7882483291626
6369.45;6974.547963867188;90.25;98.82375
1093.1;1196.9444732666016;64.7;70.8464966583252
181.65;198.9067433166504;95.5;104.5725
3549.25;3886.42875;106.35;116.45324832916259
1105.4;1210.4130267333985;97.85;107.1457483291626
3906.7;4277.836446533203;84.5;92.5275
4217.8;4618.490786132813;79.75;87.32625
1426.4;1561.9080267333984;99.1;108.51449832916259
4456.35;4879.703356933594;74.85;81.9607483291626
1752.55;1919.042303466797;95.45;104.5177466583252
6311.2;6910.764213867187;99.65;109.1167516708374
7076.35;7748.603356933594;108.45;118.7527466583252
7853.7;8599.801713867188;107.5;117.7125
4707.1;5154.2746069335935;100.5;110.0475
857.25;938.68875;94.4;103.3680016708374
244.1;267.2895066833496;75.3;82.4535033416748
2497.2;2734.433946533203;79.2;86.72399665832519
7099.0;7773.405;111.6;122.20199832916259
177.4;194.2529933166504;64.5;70.6275
6139.5;6722.7525000000005;110.5;120.9975
2688.85;2944.2908569335937;55.65;60.9367516708374
2111.3;2311.8735534667967;74.75;81.85125
565.35;619.0582232666015;50.55;55.3522491645813
4327.5;4738.6125;103.8;113.6610033416748
918.75;1006.03125;99.3;108.7335033416748
5714.25;6257.10375;84.0;91.98
7107.0;7782.165;111.05;121.59975334167481
7459.05;8167.659536132813;100.9;110.48550167083741
2514.5;2753.3775;98.5;107.8575
7611.85;8334.975856933594;110.0;120.45
7303.05;7996.839536132813;104.15;114.0442516708374
3921.3;4293.8235534667965;94.35;103.3132483291626
3423.5;3748.7325;54.6;59.7869983291626
1064.65;1165.7917767333984;100.25;109.77375
5515.45;6039.417963867188;99.8;109.2810033416748
3985.35;4363.958356933594;56.45;61.812750835418704
1215.65;1331.1367767333984;85.95;94.11524665832519
1502.65;1645.4017767333985;58.6;64.1669983291626
